tiempo,salida,entrada
0.1,0.022020,0.0
0.2,-0.024880,0.0
0.3,-0.072617,0.0
0.4,-0.035002,0.0
0.5,-0.009561,0.0
0.6,-0.055480,0.0
0.7,-0.274152,0.0
0.8,-0.179063,0.0
0.9,0.081574,0.0
1.0,0.017641,0.0
1.1,-0.003891,0.0
1.2,-0.204777,0.0
1.3,-0.083991,0.0
1.4,0.076069,0.0
1.5,-0.095630,0.0
1.6,0.165793,0.0
1.7,0.066350,0.0
1.8,0.055186,0.0
1.9,0.073545,0.0
2.0,-0.088377,0.0
2.1,0.045778,0.0
2.2,-0.002647,0.0
2.3,-0.035692,0.0
2.4,-0.041761,0.0
2.5,-0.049720,0.0
2.6,0.167114,0.0
2.7,-0.039420,0.0
2.8,0.179940,0.0
2.9,0.019118,0.0
3.0,0.061360,0.0
3.1,0.214023,0.0
3.2,-0.097818,0.0
3.3,-0.017694,0.0
3.4,-0.139418,0.0
3.5,-0.244164,0.0
3.6,-0.077953,0.0
3.7,-0.084323,0.0
3.8,0.094621,0.0
3.9,-0.001179,0.0
4.0,0.234087,0.0
4.1,-0.066268,0.0
4.2,-0.049329,0.0
4.3,0.249668,0.0
4.4,-0.081021,0.0
4.5,0.055692,0.0
4.6,0.075556,0.0
4.7,0.152228,0.0
4.8,0.155557,0.0
4.9,0.026315,0.0
5.0,0.129492,0.0
5.1,-0.037269,0.0
5.2,-0.149054,0.0
5.3,0.171962,0.0
5.4,-0.123837,0.0
5.5,0.072103,0.0
5.6,-0.137414,0.0
5.7,-0.175081,0.0
5.8,-0.212955,0.0
5.9,-0.051571,0.0
6.0,-0.027450,0.0
6.1,0.076117,0.0
6.2,0.148648,0.0
6.3,0.092173,0.0
6.4,0.021779,0.0
6.5,-0.160130,0.0
6.6,-0.183966,0.0
6.7,0.054082,0.0
6.8,-0.073046,0.0
6.9,0.011625,0.0
7.0,-0.072718,0.0
7.1,0.115478,0.0
7.2,-0.084286,0.0
7.3,-0.084311,0.0
7.4,-0.009005,0.0
7.5,0.082810,0.0
7.6,0.091560,0.0
7.7,0.087289,0.0
7.8,0.019810,0.0
7.9,0.012425,0.0
8.0,0.166986,0.0
8.1,-0.072625,0.0
8.2,-0.009908,0.0
8.3,-0.069817,0.0
8.4,-0.107589,0.0
8.5,-0.152569,0.0
8.6,-0.125985,0.0
8.7,-0.194097,0.0
8.8,0.098960,0.0
8.9,0.018983,0.0
9.0,0.041049,0.0
9.1,0.180927,0.0
9.2,0.070641,0.0
9.3,0.086267,0.0
9.4,-0.036871,0.0
